Lampiran 4. Format Data Bencana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Bencana Tahun 2024 Kabupaten Bandung Provinsi Jawa Barat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Tanggal,Nama Kabupaten,Nama Kecamatan,Nama Desa,Detail Lokasi,Jenis Bencana,Penyebab/Kronologis,Korban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerusakan,,,,,,,,,,,,,,,,,Distribusi Air Bersih (Liter),Foto,Kode Identitas Bencana,,,,,,,,,,,,
,,,,,,,,Meninggal (jiwa),,,,,,,,,Total,Hilang (jiwa),,,,,,,,,Total,Luka/Sakit (jiwa),,,,,,,,,Total,Menderita (KK),Menderita (jiwa),,,,,,,,,Total,Mengungsi (KK),Mengungsi (jiwa),,,,,,,,,Total,Rumah RB (unit),Rumah RS (unit),Rumah RR (unit),Rumah Terendam (unit),Taksiran Kerugian (Rp),Sarana Pendidikan (unit),Sarana Ibadah (unit),Sarana Kesehatan (unit),Perkantoran (unit),Bangunan lain (unit),Jembatan (unit),Jalan (km),Sawah (ha),Kebun/Lahan/hutan (ha),Kolam (ha),Irigasi (ha),TMA (Tinggi Muka Air),,,,,,,,,,,,,,,
,,,,,,,,Anak,,,Dewasa,,,Lansia,,,,Anak,,,Dewasa,,,Lansia,,,,LB,,,LR,,,Lansia,,,,,Anak,,,Dewasa,,,Lansia,,,,,Anak,,,Dewasa,,,Lansia,,,,,,,,,,,,,,,,,,,,,,,Provinsi,Kabupaten,Kecamatan,Bencana,Waktu Kejadian,Index,,,,,,,
,,,,,,,,L,P,Tot,L,P,Tot,L,P,Tot,,L,P,Tot,L,P,Tot,L,P,Tot,,L,P,Tot,L,P,Tot,L,P,Tot,,,L,P,Tot,L,P,Tot,L,P,Tot,,,L,P,Tot,L,P,Tot,L,P,Tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulan Januari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,0,,,0,,,,0,,,0,,,0,,,,0,,,0,,,0,,,,,0,,,0,,,0,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01/07/2024,,Pangalengan,Pangalengan,Kp. Pasirmulya 01/14,Banjir,Luapan Sungai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,15,14,29,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240107,4,,,,,,3204101202401074,
,,,,,Kp. Pasirmulya 05/07,Banjir,Luapan Sungai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240107,5,,,,,,,
,01/07/2024,,Bojongsoang,Tegalluar,rw 1 -14,Banjir,Hujan Deras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240107,6,,,,,,,
,01/07/2024,,Dayeuhkolot,Dayeuhkolot,"rw 1 -5, 9 -14",Banjir,Hujan Deras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240107,7,,,,,,,
